life_expectancy_year_1990_both_sex,life_expectancy_year_1990_female,life_expectancy_year_1990_male,life_expectancy_year_2000_both_sex,life_expectancy_year_2000_female,life_expectancy_year_2000_male,life_expectancy_year_2010_both_sex,life_expectancy_year_2010_female,life_expectancy_year_2010_male,margin_of_error_year_1990_both_sex,margin_of_error_year_1990_female,margin_of_error_year_1990_male,margin_of_error_year_2000_both_sex,margin_of_error_year_2000_female,margin_of_error_year_2000_male,margin_of_error_year_2010_both_sex,margin_of_error_year_2010_female,margin_of_error_year_2010_male,state_city_county
76.62,79.72,73.4,77.4,80.65,74.2,77.7,79.86,75.52,0.88,1.19,1.22,0.87,1.12,1.25,0.89,1.21,1.26,LaSalle
74.46,76.7,71.92,75.99,78.85,73.0,74.69,75.71,73.53,2.52,3.63,3.39,2.37,3.17,3.43,2.46,3.46,3.57,Lawrence
76.06,79.33,72.77,75.8,79.7,72.28,78.51,81.15,76.15,1.58,2.15,2.21,1.57,1.92,2.33,1.53,2.02,2.18,Lee
76.64,80.36,72.94,78.15,81.67,74.64,77.47,79.12,75.71,1.53,1.96,2.21,1.5,2.0,2.11,1.58,2.19,2.25,Livingston
76.46,80.05,72.86,76.71,78.74,74.54,78.64,81.06,76.17,1.6,2.16,2.19,1.66,2.32,2.3,1.68,2.35,2.35,Logan
77.78,80.56,74.71,79.12,80.25,77.6,79.51,80.74,77.92,1.74,2.19,2.56,1.55,2.24,2.12,1.8,2.78,2.32,McDonough
76.93,79.22,74.46,78.09,80.07,75.96,80.14,82.18,78.04,0.7,0.96,0.98,0.58,0.79,0.83,0.52,0.67,0.76,McHenry
77.55,80.21,74.5,78.55,80.32,76.49,79.94,82.2,77.53,0.85,1.16,1.18,0.77,1.05,1.1,0.75,0.99,1.1,McLean
75.29,78.89,71.48,76.8,79.65,73.76,78.0,80.75,75.11,0.89,1.19,1.27,0.87,1.15,1.26,0.92,1.21,1.35,Macon
76.09,79.05,72.97,76.51,79.01,73.91,77.89,79.74,75.92,1.3,1.75,1.86,1.33,1.87,1.86,1.34,1.81,1.95,Macoupin
