"county","state","voteshare","year","dem1912_3party","note","incparty","incumbency","attacks","electionyearattacks","coastal"
"BIBB","AL",0.601058185100555,1900,NA,".",-1,-1,0,0,0
"BIBB","AL",0.874736845493317,1904,NA,".",-1,0,0,0,0
"BIBB","AL",0.828603863716125,1908,NA,".",-1,0,0,0,0
"BIBB","AL",0.953580915927887,1912,0.790109872817993,".",-1,-1,0,0,0
"BIBB","AL",0.851570963859558,1916,NA,".",1,1,0,0,0
"BIBB","AL",0.819057822227478,1920,NA,".",1,0,0,0,0
"BIBB","AL",0.776829302310944,1924,NA,".",-1,-1,0,0,0
"BIBB","AL",0.54216867685318,1928,NA,".",-1,0,0,0,0
"BIBB","AL",0.918616473674774,1932,NA,".",-1,-1,0,0,0
"BIBB","AL",0.907630503177643,1936,NA,".",1,1,0,0,0
"BIBB","AL",0.913218975067139,1940,NA,".",1,1,0,0,0
"BIBB","AL",0.840565085411072,1944,NA,".",1,1,0,0,0
"BIBB","AL",0.905769228935242,1948,NA,".",1,1,0,0,0
"BIBB","AL",0.715448796749115,1952,NA,".",1,0,0,0,0
"BIBB","AL",0.594299972057343,1956,NA,".",-1,-1,0,0,0
"BIBB","AL",0.617900013923645,1960,NA,".",-1,0,0,0,0
"BIBB","AL",0,1964,NA,".",1,1,0,0,0
"BIBB","AL",0.712599992752075,1968,NA,".",1,0,0,0,0
"BIBB","AL",0.200800001621246,1972,NA,".",-1,-1,0,0,0
"BIBB","AL",0.641700029373169,1976,NA,".",-1,-1,0,0,0
"BIBB","AL",0.554199993610382,1980,NA,".",1,1,0,0,0
"BIBB","AL",0.383300006389618,1984,NA,".",-1,-1,0,0,0
"BIBB","AL",0.4375,1988,NA,".",-1,0,0,0,0
"BIBB","AL",0.481400012969971,1992,NA,".",-1,-1,0,0,0
"BIBB","AL",0.47749999165535,1996,NA,".",1,1,0,0,0
"BIBB","AL",0.388099998235703,2000,NA,".",1,0,0,0,0
"BIBB","AL",0.276300013065338,2004,NA,".",-1,-1,0,0,0
"BIBB","AL",0.268500000238419,2008,NA,".",-1,0,0,0,0
"BIBB","AL",0.264194786548615,2012,NA,".",1,1,0,0,0
"BLOUNT","AL",0.665000021457672,1872,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.801999986171722,1876,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.834999978542328,1880,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.763000011444092,1884,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.833500504493713,1888,NA,".",1,1,0,0,0
"BLOUNT","AL",0.98199999332428,1892,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.419501125812531,1896,NA,".",1,0,0,0,0
"BLOUNT","AL",0.566988229751587,1900,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.60317462682724,1904,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.538226306438446,1908,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.663487732410431,1912,0.493914812803268,".",-1,-1,0,0,0
"BLOUNT","AL",0.547570824623108,1916,NA,".",1,1,0,0,0
"BLOUNT","AL",0.505040347576141,1920,NA,".",1,0,0,0,0
"BLOUNT","AL",0.578350484371185,1924,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.479000002145767,1928,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.793489336967468,1932,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.789101898670197,1936,NA,".",1,1,0,0,0
"BLOUNT","AL",0.764646470546722,1940,NA,".",1,1,0,0,0
"BLOUNT","AL",0.681726932525635,1944,NA,".",1,1,0,0,0
"BLOUNT","AL",0.696763217449188,1948,NA,".",1,1,0,0,0
"BLOUNT","AL",0.647636234760284,1952,NA,".",1,0,0,0,0
"BLOUNT","AL",0.549700021743774,1956,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.571799993515015,1960,NA,".",-1,0,0,0,0
"BLOUNT","AL",0,1964,NA,".",1,1,0,0,0
"BLOUNT","AL",0.141200006008148,1968,NA,".",1,0,0,0,0
"BLOUNT","AL",0.196099996566772,1972,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.610899984836578,1976,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.453399986028671,1980,NA,".",1,1,0,0,0
"BLOUNT","AL",0.305200010538101,1984,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.338800013065338,1988,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.37950000166893,1992,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.358500003814697,1996,NA,".",1,1,0,0,0
"BLOUNT","AL",0.282099992036819,2000,NA,".",1,0,0,0,0
"BLOUNT","AL",0.18469999730587,2004,NA,".",-1,-1,0,0,0
"BLOUNT","AL",0.147300004959106,2008,NA,".",-1,0,0,0,0
"BLOUNT","AL",0.125139445066452,2012,NA,".",1,1,0,0,0
"BULLOCK","AL",0.282999992370605,1872,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.620000004768372,1876,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.159999996423721,1880,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.66198593378067,1884,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.606000006198883,1888,NA,".",1,1,0,0,0
"BULLOCK","AL",0.977999985218048,1892,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.71108740568161,1896,NA,".",1,0,0,0,0
"BULLOCK","AL",0.855130791664124,1900,NA,".",-1,-1,0,0,0
"BULLOCK","AL",1,1904,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.986999988555908,1908,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.994984984397888,1912,0.991999983787537,".",-1,-1,0,0,0
"BULLOCK","AL",0.994984984397888,1916,NA,".",1,1,0,0,0
"BULLOCK","AL",0.997997999191284,1920,NA,".",1,0,0,0,0
"BULLOCK","AL",0.989979982376099,1924,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.736999988555908,1928,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.987987995147705,1932,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.995995998382568,1936,NA,".",1,1,0,0,0
"BULLOCK","AL",0.986000001430511,1940,NA,".",1,1,0,0,0
"BULLOCK","AL",0.977999985218048,1944,NA,".",1,1,0,0,0
"BULLOCK","AL",0.98807156085968,1948,NA,".",1,1,0,0,0
"BULLOCK","AL",0.675034999847412,1952,NA,".",1,0,0,0,0
"BULLOCK","AL",0.72759997844696,1956,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.670400023460388,1960,NA,".",-1,0,0,0,0
"BULLOCK","AL",0,1964,NA,".",1,1,0,0,0
"BULLOCK","AL",0.911800026893616,1968,NA,".",1,0,0,0,0
"BULLOCK","AL",0.515900015830994,1972,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.704699993133545,1976,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.732500016689301,1980,NA,".",1,1,0,0,0
"BULLOCK","AL",0.675800025463104,1984,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.687200009822845,1988,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.722299993038177,1992,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.727299988269806,1996,NA,".",1,1,0,0,0
"BULLOCK","AL",0.703199982643127,2000,NA,".",1,0,0,0,0
"BULLOCK","AL",0.682399988174438,2004,NA,".",-1,-1,0,0,0
"BULLOCK","AL",0.742500007152557,2008,NA,".",-1,0,0,0,0
"BULLOCK","AL",0.76447606086731,2012,NA,".",1,1,0,0,0
"BUTLER","AL",0.574999988079071,1872,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.66100001335144,1876,NA,".",-1,0,0,0,0
"BUTLER","AL",0.701701700687408,1880,NA,".",-1,0,0,0,0
"BUTLER","AL",0.615151524543762,1884,NA,".",-1,0,0,0,0
"BUTLER","AL",0.58568549156189,1888,NA,".",1,1,0,0,0
"BUTLER","AL",0.922999978065491,1892,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.597625315189362,1896,NA,".",1,0,0,0,0
